t,X_O,X_O2,Th,Tv,rho,p,n,E
2.958012979250e-06,1.170483446140e-01,8.829516553860e-01,1.000000000000e+04,7.591483006290e+03,9.380891896690e-04,2.589020268290e+03,1.875219746860e+22,9.122259843240e+06
3.002383183940e-06,1.184879812180e-01,8.815120187820e-01,1.000000000000e+04,7.627879684630e+03,9.380891896690e-04,2.591001253960e+03,1.876654568940e+22,9.143272971670e+06
3.047418941700e-06,1.199648602430e-01,8.800351397570e-01,1.000000000000e+04,7.664404477180e+03,9.380891896690e-04,2.593036639000e+03,1.878128792330e+22,9.164637457200e+06
3.093130235830e-06,1.214801191560e-01,8.785198808440e-01,1.000000000000e+04,7.701050910540e+03,9.380891896690e-04,2.595128244160e+03,1.879643735780e+22,9.186362335960e+06
3.139527199360e-06,1.230349430770e-01,8.769650569230e-01,1.000000000000e+04,7.737811582160e+03,9.380891896690e-04,2.597277973830e+03,1.881200778640e+22,9.208456615320e+06
3.186620117350e-06,1.246305537010e-01,8.753694462990e-01,1.000000000000e+04,7.774679133270e+03,9.380891896690e-04,2.599487802050e+03,1.882801350710e+22,9.230929989770e+06
3.234419429120e-06,1.262682145510e-01,8.737317854490e-01,1.000000000000e+04,7.811645939200e+03,9.380891896690e-04,2.601759781130e+03,1.884446938450e+22,9.253792523600e+06
3.282935730550e-06,1.279492324280e-01,8.720507675720e-01,1.000000000000e+04,7.848704101870e+03,9.380891896690e-04,2.604096045070e+03,1.886139087540e+22,9.277054506570e+06
3.332179776510e-06,1.296749588970e-01,8.703250411030e-01,1.000000000000e+04,7.885845442000e+03,9.380891896690e-04,2.606498813240e+03,1.887879405440e+22,9.300726737850e+06
3.382162483160e-06,1.314467820090e-01,8.685532179910e-01,1.000000000000e+04,7.923062036310e+03,9.380891896690e-04,2.608970380430e+03,1.889669554270e+22,9.324820654300e+06
3.432894930410e-06,1.332661459290e-01,8.667338540710e-01,1.000000000000e+04,7.960345208780e+03,9.380891896690e-04,2.611513146010e+03,1.891511271880e+22,9.349347995230e+06
3.484388364360e-06,1.351345465570e-01,8.648654534430e-01,1.000000000000e+04,7.997685851670e+03,9.380891896690e-04,2.614129609730e+03,1.893406368830e+22,9.374320810420e+06
3.536654199830e-06,1.370535274740e-01,8.629464725260e-01,1.000000000000e+04,8.035074734030e+03,9.380891896690e-04,2.616822368160e+03,1.895356725830e+22,9.399752002910e+06
3.589704022820e-06,1.390246846940e-01,8.609753153060e-01,1.000000000000e+04,8.072502322400e+03,9.380891896690e-04,2.619594123520e+03,1.897364300070e+22,9.425654889580e+06
3.643549593170e-06,1.410496683710e-01,8.589503316290e-01,1.000000000000e+04,8.109958772130e+03,9.380891896690e-04,2.622447688380e+03,1.899431128680e+22,9.452043325780e+06
3.698202847060e-06,1.431301695940e-01,8.568698304060e-01,1.000000000000e+04,8.147434476540e+03,9.380891896690e-04,2.625385969530e+03,1.901559317060e+22,9.478931595380e+06
3.753675899770e-06,1.452679489280e-01,8.547320510720e-01,1.000000000000e+04,8.184919061860e+03,9.380891896690e-04,2.628412010880e+03,1.903751069880e+22,9.506334953920e+06
3.809981048270e-06,1.474648297250e-01,8.525351702750e-01,1.000000000000e+04,8.222401691370e+03,9.380891896690e-04,2.631528986990e+03,1.906008686490e+22,9.534269127920e+06
3.867130773990e-06,1.497226915060e-01,8.502773084940e-01,1.000000000000e+04,8.259871371160e+03,9.380891896690e-04,2.634740196850e+03,1.908334556320e+22,9.562750520250e+06
3.925137745600e-06,1.520434762210e-01,8.479565237790e-01,1.000000000000e+04,8.297316775860e+03,9.380891896690e-04,2.638049075980e+03,1.910731167720e+22,9.591796103580e+06
3.984014821780e-06,1.544291882370e-01,8.455708117630e-01,1.000000000000e+04,8.334726285530e+03,9.380891896690e-04,2.641459200010e+03,1.913201110500e+22,9.621423918440e+06
4.043775054110e-06,1.568818647540e-01,8.431181352460e-01,1.000000000000e+04,8.372088768370e+03,9.380891896690e-04,2.644974245970e+03,1.915747047920e+22,9.651652533340e+06
4.104431689920e-06,1.594036605050e-01,8.405963394950e-01,1.000000000000e+04,8.409391489660e+03,9.380891896690e-04,2.648598117570e+03,1.918371807440e+22,9.682501438520e+06
4.165998175270e-06,1.619967774310e-01,8.380032225690e-01,1.000000000000e+04,8.446621912470e+03,9.380891896690e-04,2.652334849110e+03,1.921078311080e+22,9.713990866100e+06
4.228488157900e-06,1.646634883620e-01,8.353365116380e-01,1.000000000000e+04,8.483767139960e+03,9.380891896690e-04,2.656188643930e+03,1.923869603300e+22,9.746142190470e+06
4.291915490270e-06,1.674061352160e-01,8.325938647840e-01,1.000000000000e+04,8.520813972020e+03,9.380891896690e-04,2.660163876830e+03,1.926748852770e+22,9.778977577260e+06
4.356294232620e-06,1.702271021600e-01,8.297728978400e-01,1.000000000000e+04,8.557749422310e+03,9.380891896690e-04,2.664265060300e+03,1.929719327870e+22,9.812519895530e+06
4.421638656110e-06,1.731288911870e-01,8.268711088130e-01,1.000000000000e+04,8.594559357590e+03,9.380891896690e-04,2.668496959900e+03,1.932784480270e+22,9.846793470740e+06
4.487963245950e-06,1.761140621730e-01,8.238859378270e-01,1.000000000000e+04,8.631229615160e+03,9.380891896690e-04,2.672864513560e+03,1.935947886510e+22,9.881823591610e+06
4.555282704640e-06,1.791852506140e-01,8.208147493860e-01,1.000000000000e+04,8.667745700400e+03,9.380891896690e-04,2.677372863790e+03,1.939213271290e+22,9.917636478640e+06
4.623611955210e-06,1.823451684820e-01,8.176548315180e-01,1.000000000000e+04,8.704092791230e+03,9.380891896690e-04,2.682027365960e+03,1.942584513490e+22,9.954259721450e+06
4.692966144540e-06,1.855965865910e-01,8.144034134090e-01,1.000000000000e+04,8.740255823960e+03,9.380891896690e-04,2.686833569630e+03,1.946065632630e+22,9.991722009630e+06
4.763360646710e-06,1.889423698990e-01,8.110576301010e-01,1.000000000000e+04,8.776219351780e+03,9.380891896690e-04,2.691797278550e+03,1.949660832370e+22,1.003005314100e+07
4.834811066410e-06,1.923854571920e-01,8.076145428080e-01,1.000000000000e+04,8.811967644310e+03,9.380891896690e-04,2.696924529290e+03,1.953374484960e+22,1.006928464730e+07
4.907333242410e-06,1.959288611510e-01,8.040711388490e-01,1.000000000000e+04,8.847484701260e+03,9.380891896690e-04,2.702221600370e+03,1.957211137930e+22,1.010944908780e+07
4.980943251040e-06,1.995756698120e-01,8.004243301880e-01,1.000000000000e+04,8.882754261980e+03,9.380891896690e-04,2.707695024030e+03,1.961175522550e+22,1.015058061350e+07
5.055657409810e-06,2.033290507730e-01,7.966709492270e-01,1.000000000000e+04,8.917759152460e+03,9.380891896690e-04,2.713351602920e+03,1.965272565960e+22,1.019271472890e+07
5.131492280950e-06,2.071922395010e-01,7.928077604990e-01,1.000000000000e+04,8.952482686370e+03,9.380891896690e-04,2.719198403430e+03,1.969507386330e+22,1.023588858210e+07
5.208464675170e-06,2.111685454220e-01,7.888314545780e-01,1.000000000000e+04,8.986907676210e+03,9.380891896690e-04,2.725242776520e+03,1.973885307940e+22,1.028014091800e+07
5.286591655300e-06,2.152613481300e-01,7.847386518700e-01,1.000000000000e+04,9.021016690320e+03,9.380891896690e-04,2.731492364380e+03,1.978411866000e+22,1.032551218990e+07
5.365890540130e-06,2.194740963470e-01,7.805259036530e-01,1.000000000000e+04,9.054791849670e+03,9.380891896690e-04,2.737955112020e+03,1.983092815060e+22,1.037204437960e+07
5.446378908230e-06,2.238103050800e-01,7.761896949200e-01,1.000000000000e+04,9.088214830050e+03,9.380891896690e-04,2.744639276950e+03,1.987934136010e+22,1.041978149520e+07
5.528074601850e-06,2.282735479810e-01,7.717264520190e-01,1.000000000000e+04,9.121267552840e+03,9.380891896690e-04,2.751553432220e+03,1.992942038280e+22,1.046876923660e+07
5.610995730880e-06,2.328674575140e-01,7.671325424860e-01,1.000000000000e+04,9.153931538870e+03,9.380891896690e-04,2.758706482280e+03,1.998122971350e+22,1.051905525310e+07
5.695160676840e-06,2.375957171780e-01,7.624042828220e-01,1.000000000000e+04,9.186188105200e+03,9.380891896690e-04,2.766107667530e+03,2.003483628010e+22,1.057068925850e+07
5.780588097000e-06,2.424620447340e-01,7.575379552660e-01,1.000000000000e+04,9.218018266430e+03,9.380891896690e-04,2.773766555310e+03,2.009030937850e+22,1.062372275860e+07
5.867296928450e-06,2.474702132240e-01,7.525297867760e-01,1.000000000000e+04,9.249403061440e+03,9.380891896690e-04,2.781693091200e+03,2.014772104420e+22,1.067820953350e+07
5.955306392380e-06,2.526240225690e-01,7.473759774310e-01,1.000000000000e+04,9.280323353780e+03,9.380891896690e-04,2.789897573830e+03,2.020714587000e+22,1.073420543010e+07
6.044635998260e-06,2.579272937030e-01,7.420727062970e-01,1.000000000000e+04,9.310759939160e+03,9.380891896690e-04,2.798390665540e+03,2.026866108290e+22,1.079176849980e+07
6.135305548240e-06,2.633838379290e-01,7.366161620710e-01,1.000000000000e+04,9.340693672440e+03,9.380891896690e-04,2.807183364100e+03,2.033234633930e+22,1.085095885500e+07
6.227335141460e-06,2.689974952480e-01,7.310025047520e-01,1.000000000000e+04,9.370105318280e+03,9.380891896690e-04,2.816287086020e+03,2.039828432870e+22,1.091183908980e+07
6.320745178580e-06,2.747720854240e-01,7.252279145760e-01,1.000000000000e+04,9.398975753060e+03,9.380891896690e-04,2.825713610830e+03,2.046656037000e+22,1.097447397830e+07
6.415556366260e-06,2.807113947740e-01,7.192886052260e-01,1.000000000000e+04,9.427285968490e+03,9.380891896690e-04,2.835475082650e+03,2.053726242260e+22,1.103893061170e+07
6.511789721750e-06,2.868191560230e-01,7.131808439770e-01,1.000000000000e+04,9.455017127420e+03,9.380891896690e-04,2.845584000740e+03,2.061048101830e+22,1.110527827870e+07
