t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
5.737253308340e-11,5.000008169010e-02,7.064322252890e-01,2.057744135060e-01,3.294322314810e-02,4.251955147280e-03,5.257964997370e-04,6.513200046860e-05,7.144168340990e-06,2.855069710120e-08,1.000000000000e+04,4.000023417170e+03,4.000032071940e+03,4.000061436310e+03,4.000161851270e+03,4.000460748190e+03,4.001148062530e+03,4.005515957120e+03,4.025744032360e+03,9.380891896690e-04,2.500000104730e+03,1.810742704870e+22,6.227906183800e+06
5.824312107960e-11,5.000008292980e-02,7.064321683690e-01,2.057744425440e-01,3.294324079460e-02,4.251961184330e-03,5.257985423210e-04,6.513269640970e-05,7.144382027190e-06,2.855688032260e-08,1.000000000000e+04,4.000023772510e+03,4.000032558610e+03,4.000062368550e+03,4.000164307110e+03,4.000467738560e+03,4.001165474640e+03,4.005599532820e+03,4.026130156500e+03,9.380891896690e-04,2.500000106320e+03,1.810742706020e+22,6.227906480740e+06
5.912676789580e-11,5.000008418800e-02,7.064321105960e-01,2.057744720180e-01,3.294325870580e-02,4.251967311930e-03,5.258006155440e-04,6.513340278990e-05,7.144598918560e-06,2.856315629060e-08,1.000000000000e+04,4.000024133180e+03,4.000033052570e+03,4.000063314760e+03,4.000166799780e+03,4.000474833740e+03,4.001183147660e+03,4.005684358330e+03,4.026521933520e+03,9.380891896690e-04,2.500000107930e+03,1.810742707190e+22,6.227906782130e+06
6.002366941430e-11,5.000008546510e-02,7.064320519560e-01,2.057745019330e-01,3.294327688570e-02,4.251973531450e-03,5.258027198650e-04,6.513411976580e-05,7.144819063190e-06,2.856952639640e-08,1.000000000000e+04,4.000024499250e+03,4.000033553950e+03,4.000064275170e+03,4.000169329830e+03,4.000482035320e+03,4.001201085500e+03,4.005770452270e+03,4.026919444010e+03,9.380891896690e-04,2.500000109570e+03,1.810742708370e+22,6.227907088040e+06
6.093402445550e-11,5.000008676140e-02,7.064319924370e-01,2.057745322980e-01,3.294329533840e-02,4.251979844260e-03,5.258048557510e-04,6.513484749620e-05,7.145042509850e-06,2.857599205200e-08,1.000000000000e+04,4.000024870830e+03,4.000034062850e+03,4.000065249990e+03,4.000171897830e+03,4.000489344880e+03,4.001219292110e+03,4.005857833570e+03,4.027322769660e+03,9.380891896690e-04,2.500000111230e+03,1.810742709580e+22,6.227907398540e+06
6.185803482230e-11,5.000008807710e-02,7.064319320240e-01,2.057745631170e-01,3.294331406770e-02,4.251986251770e-03,5.258070236750e-04,6.513558614250e-05,7.145269308100e-06,2.858255469060e-08,1.000000000000e+04,4.000025247970e+03,4.000034579380e+03,4.000066239420e+03,4.000174504340e+03,4.000496764050e+03,4.001237771520e+03,4.005946521400e+03,4.027731993230e+03,9.380891896690e-04,2.500000112920e+03,1.810742710800e+22,6.227907713690e+06
6.279590534470e-11,5.000008941250e-02,7.064318707060e-01,2.057745943990e-01,3.294333307810e-02,4.251992755380e-03,5.258092241190e-04,6.513633586850e-05,7.145499508180e-06,2.858921576690e-08,1.000000000000e+04,4.000025630770e+03,4.000035103650e+03,4.000067243700e+03,4.000177149950e+03,4.000504294470e+03,4.001256527810e+03,4.006036535240e+03,4.028147198590e+03,9.380891896690e-04,2.500000114630e+03,1.810742712040e+22,6.227908033580e+06
6.374784392480e-11,5.000009076800e-02,7.064318084680e-01,2.057746261510e-01,3.294335237360e-02,4.251999356550e-03,5.258114575690e-04,6.513709684040e-05,7.145733161130e-06,2.859597675740e-08,1.000000000000e+04,4.000026019310e+03,4.000035635800e+03,4.000068263040e+03,4.000179835230e+03,4.000511937800e+03,4.001275565140e+03,4.006127894840e+03,4.028568470740e+03,9.380891896690e-04,2.500000116370e+03,1.810742713300e+22,6.227908358260e+06
6.471406158370e-11,5.000009214380e-02,7.064317452960e-01,2.057746583780e-01,3.294337195850e-02,4.252006056740e-03,5.258137245220e-04,6.513786922670e-05,7.145970318730e-06,2.860283916070e-08,1.000000000000e+04,4.000026413690e+03,4.000036175920e+03,4.000069297670e+03,4.000182560790e+03,4.000519695730e+03,4.001294887690e+03,4.006220620260e+03,4.028995895800e+03,9.380891896690e-04,2.500000118130e+03,1.810742714570e+22,6.227908687810e+06
6.569477250750e-11,5.000009354030e-02,7.064316811760e-01,2.057746910890e-01,3.294339183720e-02,4.252012857440e-03,5.258160254790e-04,6.513865319880e-05,7.146211033550e-06,2.860980449800e-08,1.000000000000e+04,4.000026813970e+03,4.000036724150e+03,4.000070347820e+03,4.000185327230e+03,4.000527570000e+03,4.001314499750e+03,4.006314731850e+03,4.029429561060e+03,9.380891896690e-04,2.500000119920e+03,1.810742715870e+22,6.227909022310e+06
