t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
1.874085483230e-05,9.999868957970e-01,2.073753693160e-06,1.199389623420e-07,8.928203466410e-08,1.411675174510e-06,6.712162578760e-09,2.928467897420e-06,4.687968401130e-07,6.005576500250e-06,1.000000000000e+04,1.000000015690e+04,1.000000010260e+04,1.000000006670e+04,1.000000009260e+04,1.000000020870e+04,1.000000006090e+04,1.000000014930e+04,1.000000003640e+04,7.504713517360e-03,3.899948894280e+04,2.824721485530e+23,2.322000081180e+07
1.902196766480e-05,9.999868957960e-01,2.073753795960e-06,1.199389631640e-07,8.928203554490e-08,1.411675250320e-06,6.712162584340e-09,2.928468091870e-06,4.687968534790e-07,6.005576944940e-06,1.000000000000e+04,1.000000001080e+04,1.000000000710e+04,1.000000000460e+04,1.000000000640e+04,1.000000001380e+04,1.000000000420e+04,1.000000001030e+04,1.000000000250e+04,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
1.930729718980e-05,9.999868957950e-01,2.073753913760e-06,1.199389641060e-07,8.928203655420e-08,1.411675337190e-06,6.712162590740e-09,2.928468314700e-06,4.687968687950e-07,6.005577454540e-06,1.000000000000e+04,9.999999843330e+03,9.999999897540e+03,9.999999933410e+03,9.999999907510e+03,9.999999790380e+03,9.999999939200e+03,9.999999850920e+03,9.999999963700e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081170e+07
1.959690665760e-05,9.999868957940e-01,2.073754047700e-06,1.199389651770e-07,8.928203770170e-08,1.411675435950e-06,6.712162598020e-09,2.928468568030e-06,4.687968862080e-07,6.005578033890e-06,1.000000000000e+04,9.999999652940e+03,9.999999773030e+03,9.999999852490e+03,9.999999795130e+03,9.999999536430e+03,9.999999865320e+03,9.999999669760e+03,9.999999919590e+03,7.504713517360e-03,3.899948894270e+04,2.824721485520e+23,2.322000081170e+07
1.989086026750e-05,9.999868957930e-01,2.073754198940e-06,1.199389663860e-07,8.928203899760e-08,1.411675547490e-06,6.712162606240e-09,2.928468854110e-06,4.687969058720e-07,6.005578688130e-06,1.000000000000e+04,9.999999437940e+03,9.999999632420e+03,9.999999761100e+03,9.999999668220e+03,9.999999249670e+03,9.999999781890e+03,9.999999465170e+03,9.999999869780e+03,7.504713517360e-03,3.899948894260e+04,2.824721485520e+23,2.322000081170e+07
2.018922318150e-05,9.999868957910e-01,2.073754368760e-06,1.199389677430e-07,8.928204045260e-08,1.411675672710e-06,6.712162615460e-09,2.928469175320e-06,4.687969279500e-07,6.005579422710e-06,1.000000000000e+04,9.999999196530e+03,9.999999474550e+03,9.999999658490e+03,9.999999525720e+03,9.999998927700e+03,9.999999688220e+03,9.999999235460e+03,9.999999813850e+03,7.504713517360e-03,3.899948894260e+04,2.824721485520e+23,2.322000081160e+07
2.049206153920e-05,9.999868957900e-01,2.073754558480e-06,1.199389692600e-07,8.928204207800e-08,1.411675812610e-06,6.712162625770e-09,2.928469534170e-06,4.687969526160e-07,6.005580243370e-06,1.000000000000e+04,9.999998926840e+03,9.999999298170e+03,9.999999543850e+03,9.999999366520e+03,9.999998568010e+03,9.999999583570e+03,9.999998978840e+03,9.999999751360e+03,7.504713517360e-03,3.899948894250e+04,2.824721485510e+23,2.322000081160e+07
2.079944247230e-05,9.999868957880e-01,2.073754769500e-06,1.199389709470e-07,8.928204388610e-08,1.411675968230e-06,6.712162637230e-09,2.928469933330e-06,4.687969800520e-07,6.005581156220e-06,1.000000000000e+04,9.999998626850e+03,9.999999101980e+03,9.999999416340e+03,9.999999189440e+03,9.999998167930e+03,9.999999467160e+03,9.999998693390e+03,9.999999681860e+03,7.504713517360e-03,3.899948894240e+04,2.824721485510e+23,2.322000081150e+07
2.111143411940e-05,9.999868957860e-01,2.073755003330e-06,1.199389728160e-07,8.928204588950e-08,1.411676140660e-06,6.712162649940e-09,2.928470375610e-06,4.687970104530e-07,6.005582167680e-06,1.000000000000e+04,9.999998294460e+03,9.999998884600e+03,9.999999275050e+03,9.999998993240e+03,9.999997724640e+03,9.999999338180e+03,9.999998377100e+03,9.999999604850e+03,7.504713517360e-03,3.899948894240e+04,2.824721485500e+23,2.322000081150e+07
2.142810564120e-05,9.999868957840e-01,2.073755224140e-06,1.199389745820e-07,8.928204778130e-08,1.411676303480e-06,6.712162661930e-09,2.928470793260e-06,4.687970391600e-07,6.005583122820e-06,1.000000000000e+04,9.999997980570e+03,9.999998679320e+03,9.999999141630e+03,9.999998807950e+03,9.999997306040e+03,9.999999216380e+03,9.999998078420e+03,9.999999532130e+03,7.504713517360e-03,3.899948894230e+04,2.824721485500e+23,2.322000081140e+07
