t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,X_O2_13,X_O2_14,X_O2_15,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,Tg_13,Tg_14,Tg_15,rho,p,n,E
1.590973438550e-05,8.441076368450e-01,2.918246570340e-02,4.040132547500e-02,3.261418773740e-02,2.341529312180e-02,1.452557091280e-02,8.441823932890e-03,4.402123235440e-03,1.987796912690e-03,6.565171550620e-04,1.686373719580e-04,6.352318199440e-05,2.236553681210e-05,7.924097373340e-06,2.294829455600e-06,5.139506936650e-07,1.000000000000e+04,9.604332824760e+03,9.426835641530e+03,9.197385822260e+03,8.870651744990e+03,8.446280368870e+03,7.845775111940e+03,6.992923248870e+03,5.848914504470e+03,3.405116569040e+03,9.506599880000e+03,8.160172769280e+03,7.140187301090e+03,7.141179663220e+03,7.322630719110e+03,6.696487747840e+03,9.380891896690e-04,4.217520727180e+03,3.054737827780e+22,1.921797733380e+07
1.614838041130e-05,8.570028689660e-01,2.676852208070e-02,3.705937075260e-02,2.991637840690e-02,2.147840769700e-02,1.332403422980e-02,7.743528294670e-03,4.037987047410e-03,1.823370842780e-03,6.022129153930e-04,1.546888818740e-04,5.826904412450e-05,2.051566385270e-05,7.268700907220e-06,2.105030537410e-06,4.714455176330e-07,1.000000000000e+04,9.604333273830e+03,9.426836221150e+03,9.197386567600e+03,8.870652734900e+03,8.446281708950e+03,7.845777036500e+03,6.992926213790e+03,5.848919385410e+03,3.405127136450e+03,9.506603887290e+03,8.160185029030e+03,7.140206961440e+03,7.141202954000e+03,7.322657593220e+03,6.696529161730e+03,9.380891896690e-04,4.265102569060e+03,3.089201215560e+22,1.950763088710e+07
1.639060612740e-05,8.691702280860e-01,2.449083453620e-02,3.390605356890e-02,2.737084720030e-02,1.965084967330e-02,1.219031807740e-02,7.084647781950e-03,3.694404432430e-03,1.668225769080e-03,5.509738823950e-04,1.415277209060e-04,5.331147905560e-05,1.877020833120e-05,6.650298906110e-06,1.925945046150e-06,4.313396209260e-07,1.000000000000e+04,9.604333596480e+03,9.426836665080e+03,9.197387200810e+03,8.870653674650e+03,8.446283094470e+03,7.845779144290e+03,6.992929559210e+03,5.848924938760e+03,3.405139159520e+03,9.506608399420e+03,8.160198953840e+03,7.140229289110e+03,7.141229403680e+03,7.322688111220e+03,6.696576126770e+03,9.380891896690e-04,4.310993680110e+03,3.122440011990e+22,1.978699213470e+07
1.663646522930e-05,8.806092349170e-01,2.234949198440e-02,3.094149758320e-02,2.497769444200e-02,1.793269139930e-02,1.112446750160e-02,6.465208638150e-03,3.371389088150e-03,1.522367878350e-03,5.028021017410e-04,1.291544118840e-04,4.865068386260e-05,1.712923955290e-05,6.068915906610e-06,1.757580079450e-06,3.936345880050e-07,1.000000000000e+04,9.604334075010e+03,9.426837412240e+03,9.197388221780e+03,8.870655021840e+03,8.446284901990e+03,7.845781687960e+03,6.992933391760e+03,5.848931193470e+03,3.405152774990e+03,9.506613707940e+03,8.160214796060e+03,7.140254688510e+03,7.141259479910e+03,7.322722815830e+03,6.696629875120e+03,9.380891896690e-04,4.355047541990e+03,3.154348094260e+22,2.005516916610e+07
1.688601221780e-05,8.913252726730e-01,2.034348688540e-02,2.816430778920e-02,2.273579386460e-02,1.632312422610e-02,1.012598084260e-02,5.884919306630e-03,3.068788987360e-03,1.385728522170e-03,4.576748767680e-04,1.175631308530e-04,4.428446361050e-05,1.559198486440e-05,5.524278150330e-06,1.599856360900e-06,3.583126707000e-07,1.000000000000e+04,9.604334204940e+03,9.426837388730e+03,9.197388269750e+03,8.870655505670e+03,8.446286077010e+03,7.845784012030e+03,6.992937632500e+03,5.848938578370e+03,3.405168409070e+03,9.506618948340e+03,8.160232734020e+03,7.140283420450e+03,7.141293567110e+03,7.322762128370e+03,6.696689275580e+03,9.380891896690e-04,4.397141812510e+03,3.184836850280e+22,2.031141721960e+07
1.713930241100e-05,9.013290285430e-01,1.847081767760e-02,2.557171381800e-02,2.064290978580e-02,1.482054336390e-02,9.193862714470e-03,5.343201355510e-03,2.786302474570e-03,1.258171478540e-03,4.155472964180e-04,1.067423156770e-04,4.020846753810e-05,1.415691168220e-05,5.015842622330e-06,1.452616590450e-06,3.253386012400e-07,1.000000000000e+04,9.604335541160e+03,9.426840014970e+03,9.197391845180e+03,8.870659454020e+03,8.446290325270e+03,7.845788584710e+03,6.992942884140e+03,5.848945953320e+03,3.405185678930e+03,9.506628121940e+03,8.160253359190e+03,7.140316665240e+03,7.141332721130e+03,7.322807379070e+03,6.696763430810e+03,9.380891896690e-04,4.437179216210e+03,3.213835823740e+22,2.055514415890e+07
1.739639195720e-05,9.106359528850e-01,1.672859545870e-02,2.315971403740e-02,1.869580936190e-02,1.342262657560e-02,8.326671958200e-03,4.839216972550e-03,2.523492695350e-03,1.139499536240e-03,3.763539576740e-04,9.667525901670e-05,3.641638417620e-05,1.282180065850e-05,4.542823020170e-06,1.315633207500e-06,2.946615632820e-07,1.000000000000e+04,9.604334051430e+03,9.426835603820e+03,9.197385512010e+03,8.870653586450e+03,8.446286083240e+03,7.845787611620e+03,6.992947399650e+03,5.848958175410e+03,3.405206848080e+03,9.506625964590e+03,8.160276262870e+03,7.140352267940e+03,7.141375856670e+03,7.322856777820e+03,6.696822847570e+03,9.380891896690e-04,4.475088023060e+03,3.241293060770e+22,2.078591323820e+07
1.765733784660e-05,9.192656506790e-01,1.511314458560e-02,2.092322333390e-02,1.689039201780e-02,1.212643182880e-02,7.522584382200e-03,4.371906406770e-03,2.279806894340e-03,1.029462979830e-03,3.400130175950e-04,8.734071944340e-05,3.290025347280e-05,1.158384323040e-05,4.104224179700e-06,1.188617673010e-06,2.662165963490e-07,1.000000000000e+04,9.604337328270e+03,9.426843842930e+03,9.197397664550e+03,8.870666439870e+03,8.446298565160e+03,7.845798443960e+03,6.992955333640e+03,5.848964724300e+03,3.405227724280e+03,9.506647232900e+03,8.160304368340e+03,7.140397028360e+03,7.141427908820e+03,7.322917069690e+03,6.696941897140e+03,9.380891896690e-04,4.510821741770e+03,3.267174887880e+22,2.100344160020e+07
1.792219792430e-05,9.272410900710e-01,1.362016661160e-02,1.885628895270e-02,1.522185100290e-02,1.092850888770e-02,6.779460221720e-03,3.940026353410e-03,2.054597214460e-03,9.277692926820e-04,3.064269659920e-04,7.871393722480e-05,2.965070283160e-05,1.043974565690e-05,3.698879425470e-06,1.071232488010e-06,2.399285021970e-07,1.000000000000e+04,9.604335720340e+03,9.426839441080e+03,9.197391889170e+03,8.870661823280e+03,8.446295732210e+03,7.845799274740e+03,6.992961898530e+03,5.848977150620e+03,3.405256874990e+03,9.506656502230e+03,8.160331650050e+03,7.140444384390e+03,7.141484280930e+03,7.322982282860e+03,6.697025280880e+03,9.380891896690e-04,4.544357501840e+03,3.291464740020e+22,2.120758997630e+07
1.819103090310e-05,9.345881705400e-01,1.224482566810e-02,1.695221110700e-02,1.368476934030e-02,9.824961220230e-03,6.094878529830e-03,3.542168108510e-03,1.847128232530e-03,8.340865325100e-04,2.754867333020e-04,7.076678628810e-05,2.665715132580e-05,9.385777477540e-06,3.325466859270e-06,9.630946483880e-07,2.157113301810e-07,1.000000000000e+04,9.604337999520e+03,9.426841531950e+03,9.197392509630e+03,8.870662376090e+03,8.446297857350e+03,7.845802958120e+03,6.992970208000e+03,5.848995278190e+03,3.405283307520e+03,9.506659596740e+03,8.160366969600e+03,7.140500260380e+03,7.141549906570e+03,7.323058033700e+03,6.697143109120e+03,9.380891896690e-04,4.575695393270e+03,3.314162682390e+22,2.139835861360e+07
1.846389637670e-05,9.413351409110e-01,1.098180621800e-02,1.520364392580e-02,1.227323688330e-02,8.811559861270e-03,5.466222469780e-03,3.176813720780e-03,1.656609161000e-03,7.480575192750e-04,2.470746209010e-04,6.346881712520e-05,2.390815152660e-05,8.417915504980e-06,2.982560941040e-06,8.637913714390e-07,1.934726012500e-07,1.000000000000e+04,9.604337329650e+03,9.426845014540e+03,9.197401334460e+03,8.870672678040e+03,8.446307699770e+03,7.845813589150e+03,6.992979883110e+03,5.849005176920e+03,3.405318899590e+03,9.506675056190e+03,8.160407885050e+03,7.140563533390e+03,7.141625239690e+03,7.323144753290e+03,6.697282037260e+03,9.380891896690e-04,4.604856728870e+03,3.335284151780e+22,2.157587792900e+07
1.874085483230e-05,9.475119715760e-01,9.825529375070e-03,1.360284884770e-02,1.098098339620e-02,7.883786730460e-03,4.890681967650e-03,2.842327018410e-03,1.482186264740e-03,6.692967806000e-04,2.210627026560e-04,5.678747952290e-05,2.139141745580e-05,7.531826470710e-06,2.668626602180e-06,7.728780491710e-07,1.731127977640e-07,1.000000000000e+04,9.604340980280e+03,9.426846431660e+03,9.197400100130e+03,8.870671938370e+03,8.446309310240e+03,7.845818103470e+03,6.992990702840e+03,5.849026183750e+03,3.405357799350e+03,9.506691935440e+03,8.160452406430e+03,7.140635521370e+03,7.141710545810e+03,7.323243246680e+03,6.697431563940e+03,9.380891896690e-04,4.631881663580e+03,3.354858232310e+22,2.174039157570e+07
1.902196766480e-05,9.531498092880e-01,8.770146268790e-03,1.214173543800e-02,9.801492014930e-03,7.036973732560e-03,4.365365884190e-03,2.537029704050e-03,1.322984663390e-03,5.974091569910e-04,1.973207679700e-04,5.068919376480e-05,1.909430778690e-05,6.723062973710e-06,2.382088170850e-06,6.898984394490e-07,1.545297423170e-07,1.000000000000e+04,9.604340427890e+03,9.426847284400e+03,9.197402780480e+03,8.870675950480e+03,8.446314895090e+03,7.845826389800e+03,6.993003107780e+03,5.849046249410e+03,3.405402194880e+03,9.506708147530e+03,8.160504083330e+03,7.140718404270e+03,7.141808721710e+03,7.323356457290e+03,6.697606338560e+03,9.380891896690e-04,4.656826777370e+03,3.372925904680e+22,2.189224446890e+07
1.930729718980e-05,9.582805225750e-01,7.809694378680e-03,1.081204944580e-02,8.728096234970e-03,6.266331784570e-03,3.887302191640e-03,2.259194019770e-03,1.178103346340e-03,5.319879129140e-04,1.757144561920e-04,4.513945403560e-05,1.700382587750e-05,5.987048886600e-06,2.121324294210e-06,6.143829753560e-07,1.376182658140e-07,1.000000000000e+04,9.604342242730e+03,9.426849406930e+03,9.197405329480e+03,8.870679799530e+03,8.446320742930e+03,7.845835288790e+03,6.993017457030e+03,5.849070222100e+03,3.405453310340e+03,9.506727729450e+03,8.160563363780e+03,7.140813367540e+03,7.141921189500e+03,7.323486219590e+03,6.697806273870e+03,9.380891896690e-04,4.679762743850e+03,3.389538357580e+22,2.203186672670e+07
1.959690665760e-05,9.629362103630e-01,6.938165961230e-03,9.605472274750e-03,7.754080501090e-03,5.567039351270e-03,3.453499689110e-03,2.007081523570e-03,1.046635734190e-03,4.726236221290e-04,1.561085429440e-04,4.010353390190e-05,1.510689011100e-05,5.319178301530e-06,1.884703136710e-06,5.458590904360e-07,1.222725384970e-07,1.000000000000e+04,9.604343770240e+03,9.426851486280e+03,9.197408332490e+03,8.870684354400e+03,8.446327571200e+03,7.845845686610e+03,6.993033850680e+03,5.849097330960e+03,3.405512048970e+03,9.506750107000e+03,8.160631395820e+03,7.140922465190e+03,7.142050406190e+03,7.323635279280e+03,6.698035974100e+03,9.380891896690e-04,4.700771590630e+03,3.404755003360e+22,2.215975767160e+07
