t,X_O,X_O2,Th,Tv,rho,p,n,E
3.816265308440e-12,5.000051066570e-02,9.499994893340e-01,1.000000000000e+04,5.006454273160e+02,7.504713517360e-03,2.000000523760e+04,1.448594482570e+23,6.930956091610e+06
3.883509288070e-12,5.000051966390e-02,9.499994803360e-01,1.000000000000e+04,5.006567807190e+02,7.504713517360e-03,2.000000532990e+04,1.448594489250e+23,6.930956822250e+06
3.951761927390e-12,5.000052879700e-02,9.499994712030e-01,1.000000000000e+04,5.006683037310e+02,7.504713517360e-03,2.000000542360e+04,1.448594496030e+23,6.930957563830e+06
4.021038356300e-12,5.000053806710e-02,9.499994619330e-01,1.000000000000e+04,5.006799988750e+02,7.504713517360e-03,2.000000551860e+04,1.448594502920e+23,6.930958316520e+06
4.091353931650e-12,5.000054747630e-02,9.499994525240e-01,1.000000000000e+04,5.006918687100e+02,7.504713517360e-03,2.000000561510e+04,1.448594509910e+23,6.930959080490e+06
4.162724240620e-12,5.000055702660e-02,9.499994429730e-01,1.000000000000e+04,5.007039158360e+02,7.504713517360e-03,2.000000571310e+04,1.448594517010e+23,6.930959855890e+06
4.235165104230e-12,5.000056672020e-02,9.499994332800e-01,1.000000000000e+04,5.007161428890e+02,7.504713517360e-03,2.000000581250e+04,1.448594524210e+23,6.930960642910e+06
4.308692580790e-12,5.000057655920e-02,9.499994234410e-01,1.000000000000e+04,5.007285525430e+02,7.504713517360e-03,2.000000591340e+04,1.448594531520e+23,6.930961441710e+06
4.383322969500e-12,5.000058654580e-02,9.499994134540e-01,1.000000000000e+04,5.007411475150e+02,7.504713517360e-03,2.000000601590e+04,1.448594538930e+23,6.930962252480e+06
4.459072814050e-12,5.000059668220e-02,9.499994033180e-01,1.000000000000e+04,5.007539305580e+02,7.504713517360e-03,2.000000611980e+04,1.448594546460e+23,6.930963075390e+06
4.535958906260e-12,5.000060697060e-02,9.499993930290e-01,1.000000000000e+04,5.007669044670e+02,7.504713517360e-03,2.000000622530e+04,1.448594554110e+23,6.930963910630e+06
4.613998289850e-12,5.000061741330e-02,9.499993825870e-01,1.000000000000e+04,5.007800720800e+02,7.504713517360e-03,2.000000633240e+04,1.448594561870e+23,6.930964758370e+06
4.693208264200e-12,5.000062801270e-02,9.499993719870e-01,1.000000000000e+04,5.007934362740e+02,7.504713517360e-03,2.000000644120e+04,1.448594569740e+23,6.930965618800e+06
4.773606388160e-12,5.000063877110e-02,9.499993612290e-01,1.000000000000e+04,5.008069999690e+02,7.504713517360e-03,2.000000655150e+04,1.448594577730e+23,6.930966492120e+06
4.855210483990e-12,5.000064969090e-02,9.499993503090e-01,1.000000000000e+04,5.008207661310e+02,7.504713517360e-03,2.000000666350e+04,1.448594585840e+23,6.930967378510e+06
4.938038641250e-12,5.000066077440e-02,9.499993392260e-01,1.000000000000e+04,5.008347377640e+02,7.504713517360e-03,2.000000677720e+04,1.448594594080e+23,6.930968278180e+06
5.022109220860e-12,5.000067202430e-02,9.499993279760e-01,1.000000000000e+04,5.008489179220e+02,7.504713517360e-03,2.000000689260e+04,1.448594602430e+23,6.930969191320e+06
5.107440859180e-12,5.000068344280e-02,9.499993165570e-01,1.000000000000e+04,5.008633096990e+02,7.504713517360e-03,2.000000700970e+04,1.448594610920e+23,6.930970118130e+06
5.194052472060e-12,5.000069503270e-02,9.499993049670e-01,1.000000000000e+04,5.008779162370e+02,7.504713517360e-03,2.000000712850e+04,1.448594619530e+23,6.930971058820e+06
5.281963259150e-12,5.000070679640e-02,9.499992932040e-01,1.000000000000e+04,5.008927407250e+02,7.504713517360e-03,2.000000724920e+04,1.448594628270e+23,6.930972013590e+06
5.371192708030e-12,5.000071873650e-02,9.499992812630e-01,1.000000000000e+04,5.009077863960e+02,7.504713517360e-03,2.000000737170e+04,1.448594637140e+23,6.930972982650e+06
5.461760598650e-12,5.000073085580e-02,9.499992691440e-01,1.000000000000e+04,5.009230565320e+02,7.504713517360e-03,2.000000749600e+04,1.448594646140e+23,6.930973966220e+06
5.553687007630e-12,5.000074315690e-02,9.499992568430e-01,1.000000000000e+04,5.009385544640e+02,7.504713517360e-03,2.000000762210e+04,1.448594655280e+23,6.930974964520e+06
5.646992312750e-12,5.000075564240e-02,9.499992443580e-01,1.000000000000e+04,5.009542835710e+02,7.504713517360e-03,2.000000775020e+04,1.448594664550e+23,6.930975977760e+06
5.741697197440e-12,5.000076831530e-02,9.499992316850e-01,1.000000000000e+04,5.009702472810e+02,7.504713517360e-03,2.000000788020e+04,1.448594673970e+23,6.930977006170e+06
5.837822655400e-12,5.000078117820e-02,9.499992188220e-01,1.000000000000e+04,5.009864490730e+02,7.504713517360e-03,2.000000801210e+04,1.448594683520e+23,6.930978049970e+06
