t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
3.753868136610e-13,5.000000053450e-02,4.241380616710e-03,3.520257587180e-04,7.158374013860e-06,7.799424797760e-01,1.588305142210e-01,6.619282529810e-03,1.444743363310e-06,5.713446156700e-06,1.000000000000e+04,4.000001386820e+03,4.000004014900e+03,4.000005114320e+03,4.000000189370e+03,4.000000325130e+03,4.000000847370e+03,4.000048827120e+03,4.000028039380e+03,9.380891896690e-04,2.500000000690e+03,1.810742629510e+22,6.227931727790e+06
3.910176158650e-13,5.000000055680e-02,4.241380739410e-03,3.520257854090e-04,7.158375636330e-06,7.799424789640e-01,1.588305147580e-01,6.619282626720e-03,1.444744737300e-06,5.713448730610e-06,1.000000000000e+04,4.000001444560e+03,4.000004182070e+03,4.000005327280e+03,4.000000197260e+03,4.000000338670e+03,4.000000882650e+03,4.000050860200e+03,4.000029206910e+03,9.380891896690e-04,2.500000000710e+03,1.810742629530e+22,6.227931733120e+06
4.068828801030e-13,5.000000057930e-02,4.241380863960e-03,3.520258125000e-04,7.158377283130e-06,7.799424781410e-01,1.588305153040e-01,6.619282725090e-03,1.444746131910e-06,5.713451343140e-06,1.000000000000e+04,4.000001503170e+03,4.000004351760e+03,4.000005543430e+03,4.000000205260e+03,4.000000352410e+03,4.000000918460e+03,4.000052923780e+03,4.000030391950e+03,9.380891896690e-04,2.500000000740e+03,1.810742629550e+22,6.227931738540e+06
4.229861233050e-13,5.000000060230e-02,4.241380990370e-03,3.520258399980e-04,7.158378954640e-06,7.799424773050e-01,1.588305158570e-01,6.619282824930e-03,1.444747547430e-06,5.713453994850e-06,1.000000000000e+04,4.000001562670e+03,4.000004523990e+03,4.000005762820e+03,4.000000213390e+03,4.000000366360e+03,4.000000954810e+03,4.000055018310e+03,4.000031594770e+03,9.380891896690e-04,2.500000000770e+03,1.810742629570e+22,6.227931744030e+06
4.393309151550e-13,5.000000062550e-02,4.241381118670e-03,3.520258679080e-04,7.158380651220e-06,7.799424764560e-01,1.588305164190e-01,6.619282926260e-03,1.444748984180e-06,5.713456686340e-06,1.000000000000e+04,4.000001623050e+03,4.000004698800e+03,4.000005985500e+03,4.000000221630e+03,4.000000380520e+03,4.000000991710e+03,4.000057144250e+03,4.000032815630e+03,9.380891896690e-04,2.500000000800e+03,1.810742629590e+22,6.227931749600e+06
4.559208788820e-13,5.000000064920e-02,4.241381248900e-03,3.520258962370e-04,7.158382373240e-06,7.799424755950e-01,1.588305169890e-01,6.619283029120e-03,1.444750442490e-06,5.713459418200e-06,1.000000000000e+04,4.000001684340e+03,4.000004876240e+03,4.000006211530e+03,4.000000230000e+03,4.000000394890e+03,4.000001029160e+03,4.000059302080e+03,4.000034054800e+03,9.380891896690e-04,2.500000000830e+03,1.810742629610e+22,6.227931755260e+06
4.727596920650e-13,5.000000067310e-02,4.241381381090e-03,3.520259249910e-04,7.158384121100e-06,7.799424747210e-01,1.588305175680e-01,6.619283133520e-03,1.444751922670e-06,5.713462191040e-06,1.000000000000e+04,4.000001746550e+03,4.000005056330e+03,4.000006440940e+03,4.000000238500e+03,4.000000409470e+03,4.000001067170e+03,4.000061492270e+03,4.000035312550e+03,9.380891896690e-04,2.500000000860e+03,1.810742629640e+22,6.227931761000e+06
4.898510874460e-13,5.000000069750e-02,4.241381515260e-03,3.520259541760e-04,7.158385895180e-06,7.799424738340e-01,1.588305181560e-01,6.619283239490e-03,1.444753425050e-06,5.713465005480e-06,1.000000000000e+04,4.000001809690e+03,4.000005239130e+03,4.000006673790e+03,4.000000247120e+03,4.000000424270e+03,4.000001105750e+03,4.000063715310e+03,4.000036589170e+03,9.380891896690e-04,2.500000000890e+03,1.810742629660e+22,6.227931766830e+06
5.071988537580e-13,5.000000072220e-02,4.241381651440e-03,3.520259837990e-04,7.158387695860e-06,7.799424729330e-01,1.588305187520e-01,6.619283347040e-03,1.444754949970e-06,5.713467862130e-06,1.000000000000e+04,4.000001873780e+03,4.000005424670e+03,4.000006910140e+03,4.000000255870e+03,4.000000439300e+03,4.000001144910e+03,4.000065971690e+03,4.000037884940e+03,9.380891896690e-04,2.500000000930e+03,1.810742629680e+22,6.227931772750e+06
5.248068365640e-13,5.000000074720e-02,4.241381789660e-03,3.520260138660e-04,7.158389523560e-06,7.799424720190e-01,1.588305193570e-01,6.619283456210e-03,1.444756497770e-06,5.713470761620e-06,1.000000000000e+04,4.000001938830e+03,4.000005612990e+03,4.000007150030e+03,4.000000264750e+03,4.000000454550e+03,4.000001184650e+03,4.000068261910e+03,4.000039200150e+03,9.380891896690e-04,2.500000000960e+03,1.810742629700e+22,6.227931778760e+06
