t,X_O,X_O2,Th,Tv,rho,p,n,E
2.516381255150e-12,5.000029861910e-02,9.499997013810e-01,1.000000000000e+04,5.002238537530e+02,7.504713517360e-03,2.000000306280e+04,1.448594325040e+23,6.930930051380e+06
2.564126973970e-12,5.000030428510e-02,9.499996957150e-01,1.000000000000e+04,5.002280985750e+02,7.504713517360e-03,2.000000312090e+04,1.448594329250e+23,6.930930344470e+06
2.612588878580e-12,5.000031003610e-02,9.499996899640e-01,1.000000000000e+04,5.002324069730e+02,7.504713517360e-03,2.000000317990e+04,1.448594333520e+23,6.930930641950e+06
2.661777711760e-12,5.000031587340e-02,9.499996841270e-01,1.000000000000e+04,5.002367798950e+02,7.504713517360e-03,2.000000323970e+04,1.448594337860e+23,6.930930943890e+06
2.711704377440e-12,5.000032179820e-02,9.499996782020e-01,1.000000000000e+04,5.002412183080e+02,7.504713517360e-03,2.000000330050e+04,1.448594342260e+23,6.930931250360e+06
2.762379943100e-12,5.000032781190e-02,9.499996721880e-01,1.000000000000e+04,5.002457231900e+02,7.504713517360e-03,2.000000336220e+04,1.448594346730e+23,6.930931561420e+06
2.813815642250e-12,5.000033391580e-02,9.499996660840e-01,1.000000000000e+04,5.002502955350e+02,7.504713517360e-03,2.000000342480e+04,1.448594351260e+23,6.930931877150e+06
2.866022876880e-12,5.000034011120e-02,9.499996598890e-01,1.000000000000e+04,5.002549363520e+02,7.504713517360e-03,2.000000348830e+04,1.448594355870e+23,6.930932197610e+06
2.919013220030e-12,5.000034639960e-02,9.499996536000e-01,1.000000000000e+04,5.002596466640e+02,7.504713517360e-03,2.000000355280e+04,1.448594360540e+23,6.930932522870e+06
2.972798418330e-12,5.000035278230e-02,9.499996472180e-01,1.000000000000e+04,5.002644275100e+02,7.504713517360e-03,2.000000361830e+04,1.448594365280e+23,6.930932853010e+06
3.027390394610e-12,5.000035926080e-02,9.499996407390e-01,1.000000000000e+04,5.002692799450e+02,7.504713517360e-03,2.000000368470e+04,1.448594370090e+23,6.930933188100e+06
3.082801250530e-12,5.000036583640e-02,9.499996341640e-01,1.000000000000e+04,5.002742050380e+02,7.504713517360e-03,2.000000375220e+04,1.448594374980e+23,6.930933528210e+06
3.139043269290e-12,5.000037251070e-02,9.499996274890e-01,1.000000000000e+04,5.002792038760e+02,7.504713517360e-03,2.000000382060e+04,1.448594379930e+23,6.930933873420e+06
3.196128918320e-12,5.000037928510e-02,9.499996207150e-01,1.000000000000e+04,5.002842775620e+02,7.504713517360e-03,2.000000389010e+04,1.448594384970e+23,6.930934223810e+06
3.254070852100e-12,5.000038616110e-02,9.499996138390e-01,1.000000000000e+04,5.002894272120e+02,7.504713517360e-03,2.000000396060e+04,1.448594390080e+23,6.930934579450e+06
3.312881914880e-12,5.000039314020e-02,9.499996068600e-01,1.000000000000e+04,5.002946539780e+02,7.504713517360e-03,2.000000403220e+04,1.448594395260e+23,6.930934940420e+06
3.372575143600e-12,5.000040022410e-02,9.499995997760e-01,1.000000000000e+04,5.002999590530e+02,7.504713517360e-03,2.000000410490e+04,1.448594400520e+23,6.930935306800e+06
3.433163770760e-12,5.000040741410e-02,9.499995925860e-01,1.000000000000e+04,5.003053435510e+02,7.504713517360e-03,2.000000417860e+04,1.448594405860e+23,6.930935678680e+06
3.494661227320e-12,5.000041471210e-02,9.499995852880e-01,1.000000000000e+04,5.003108086610e+02,7.504713517360e-03,2.000000425350e+04,1.448594411280e+23,6.930936056130e+06
3.557081145730e-12,5.000042211950e-02,9.499995778810e-01,1.000000000000e+04,5.003163555850e+02,7.504713517360e-03,2.000000432940e+04,1.448594416790e+23,6.930936439240e+06
3.620437362920e-12,5.000042963800e-02,9.499995703620e-01,1.000000000000e+04,5.003219855480e+02,7.504713517360e-03,2.000000440650e+04,1.448594422370e+23,6.930936828090e+06
3.684743923360e-12,5.000043726930e-02,9.499995627310e-01,1.000000000000e+04,5.003276997880e+02,7.504713517360e-03,2.000000448480e+04,1.448594428040e+23,6.930937222780e+06
3.750015082210e-12,5.000044501510e-02,9.499995549850e-01,1.000000000000e+04,5.003334995660e+02,7.504713517360e-03,2.000000456430e+04,1.448594433800e+23,6.930937623370e+06
3.816265308440e-12,5.000045287710e-02,9.499995471230e-01,1.000000000000e+04,5.003393861590e+02,7.504713517360e-03,2.000000464490e+04,1.448594439640e+23,6.930938029970e+06
3.883509288070e-12,5.000046085700e-02,9.499995391430e-01,1.000000000000e+04,5.003453608630e+02,7.504713517360e-03,2.000000472670e+04,1.448594445560e+23,6.930938442670e+06
3.951761927390e-12,5.000046895650e-02,9.499995310430e-01,1.000000000000e+04,5.003514249950e+02,7.504713517360e-03,2.000000480980e+04,1.448594451580e+23,6.930938861550e+06
4.021038356300e-12,5.000047717760e-02,9.499995228220e-01,1.000000000000e+04,5.003575798900e+02,7.504713517360e-03,2.000000489410e+04,1.448594457690e+23,6.930939286720e+06
4.091353931650e-12,5.000048552200e-02,9.499995144780e-01,1.000000000000e+04,5.003638269040e+02,7.504713517360e-03,2.000000497970e+04,1.448594463890e+23,6.930939718250e+06
4.162724240620e-12,5.000049399160e-02,9.499995060080e-01,1.000000000000e+04,5.003701674130e+02,7.504713517360e-03,2.000000506660e+04,1.448594470180e+23,6.930940156250e+06
