t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,rho,p,n,E
4.068828801030e-13,5.000000057940e-02,3.416968461370e-02,4.361003673230e-06,1.381350785480e-06,4.020466300450e-07,8.970087900200e-03,7.536367698320e-05,9.754580862130e-04,9.983867624870e-02,3.874170982150e-01,2.193851630550e-01,1.265686403820e-01,7.259368284190e-02,1.000000000000e+04,4.000000789220e+03,4.000003422200e+03,4.000055726650e+03,3.999880071130e+03,4.000000532950e+03,4.000004903130e+03,4.000001344720e+03,4.000000265390e+03,4.000000291900e+03,4.000000299260e+03,4.000000313720e+03,4.000000328780e+03,9.380891896690e-04,2.500000000740e+03,1.810742629550e+22,6.227935418120e+06
4.229861233050e-13,5.000000060230e-02,3.416968509320e-02,4.361004647410e-06,1.381352352940e-06,4.020466369820e-07,8.970087955870e-03,7.536368473130e-05,9.754581087380e-04,9.983867631100e-02,3.874170978580e-01,2.193851628730e-01,1.265686403020e-01,7.259368280720e-02,1.000000000000e+04,4.000000820450e+03,4.000003557640e+03,4.000057932100e+03,3.999875324840e+03,4.000000554040e+03,4.000005097180e+03,4.000001397940e+03,4.000000275890e+03,4.000000303450e+03,4.000000311110e+03,4.000000326140e+03,4.000000341790e+03,9.380891896690e-04,2.500000000770e+03,1.810742629570e+22,6.227935423610e+06
4.393309151550e-13,5.000000062560e-02,3.416968557990e-02,4.361005636200e-06,1.381353943910e-06,4.020466440220e-07,8.970088012370e-03,7.536369259570e-05,9.754581316010e-04,9.983867637420e-02,3.874170974960e-01,2.193851626870e-01,1.265686402220e-01,7.259368277200e-02,1.000000000000e+04,4.000000852150e+03,4.000003695120e+03,4.000060170630e+03,3.999870507360e+03,4.000000575450e+03,4.000005294150e+03,4.000001451960e+03,4.000000286550e+03,4.000000315180e+03,4.000000323130e+03,4.000000338740e+03,4.000000355000e+03,9.380891896690e-04,2.500000000800e+03,1.810742629590e+22,6.227935429190e+06
4.559208788820e-13,5.000000064920e-02,3.416968607390e-02,4.361006639820e-06,1.381355558740e-06,4.020466511690e-07,8.970088069720e-03,7.536370057800e-05,9.754581548070e-04,9.983867643840e-02,3.874170971290e-01,2.193851624990e-01,1.265686401400e-01,7.259368273630e-02,1.000000000000e+04,4.000000884330e+03,4.000003834650e+03,4.000062442730e+03,3.999865617630e+03,4.000000597180e+03,4.000005494060e+03,4.000001506790e+03,4.000000297370e+03,4.000000327080e+03,4.000000335330e+03,4.000000351530e+03,4.000000368400e+03,9.380891896690e-04,2.500000000830e+03,1.810742629610e+22,6.227935434850e+06
4.727596920650e-13,5.000000067320e-02,3.416968657530e-02,4.361007658500e-06,1.381357197800e-06,4.020466584220e-07,8.970088127940e-03,7.536370868000e-05,9.754581783610e-04,9.983867650350e-02,3.874170967560e-01,2.193851623080e-01,1.265686400570e-01,7.259368270000e-02,1.000000000000e+04,4.000000916990e+03,4.000003976280e+03,4.000064748920e+03,3.999860654570e+03,4.000000619240e+03,4.000005696980e+03,4.000001562440e+03,4.000000308350e+03,4.000000339160e+03,4.000000347720e+03,4.000000364510e+03,4.000000382010e+03,9.380891896690e-04,2.500000000860e+03,1.810742629640e+22,6.227935440590e+06
4.898510874460e-13,5.000000069750e-02,3.416968708420e-02,4.361008692450e-06,1.381358861450e-06,4.020466657840e-07,8.970088187020e-03,7.536371690360e-05,9.754582022690e-04,9.983867656960e-02,3.874170963780e-01,2.193851621140e-01,1.265686399730e-01,7.259368266310e-02,1.000000000000e+04,4.000000950150e+03,4.000004120030e+03,4.000067089690e+03,3.999855617080e+03,4.000000641630e+03,4.000005902940e+03,4.000001618930e+03,4.000000319500e+03,4.000000351420e+03,4.000000360290e+03,4.000000377690e+03,4.000000395820e+03,9.380891896690e-04,2.500000000890e+03,1.810742629660e+22,6.227935446420e+06
5.071988537580e-13,5.000000072220e-02,3.416968760080e-02,4.361009741920e-06,1.381360550050e-06,4.020466732570e-07,8.970088246990e-03,7.536372525050e-05,9.754582265350e-04,9.983867663670e-02,3.874170959940e-01,2.193851619180e-01,1.265686398870e-01,7.259368262580e-02,1.000000000000e+04,4.000000983790e+03,4.000004265930e+03,4.000069465560e+03,3.999850504040e+03,4.000000664350e+03,4.000006111980e+03,4.000001676260e+03,4.000000330820e+03,4.000000363870e+03,4.000000373050e+03,4.000000391070e+03,4.000000409840e+03,9.380891896690e-04,2.500000000930e+03,1.810742629680e+22,6.227935452340e+06
5.248068365640e-13,5.000000074730e-02,3.416968812510e-02,4.361010807130e-06,1.381362263970e-06,4.020466808420e-07,8.970088307870e-03,7.536373372260e-05,9.754582511650e-04,9.983867670480e-02,3.874170956040e-01,2.193851617180e-01,1.265686398010e-01,7.259368258780e-02,1.000000000000e+04,4.000001017950e+03,4.000004414030e+03,4.000071877070e+03,3.999845314310e+03,4.000000687410e+03,4.000006324170e+03,4.000001734450e+03,4.000000342300e+03,4.000000376500e+03,4.000000386000e+03,4.000000404640e+03,4.000000424060e+03,9.380891896690e-04,2.500000000960e+03,1.810742629700e+22,6.227935458340e+06
5.426789391130e-13,5.000000077270e-02,3.416968865730e-02,4.361011888320e-06,1.381364003610e-06,4.020466885410e-07,8.970088369650e-03,7.536374232180e-05,9.754582761640e-04,9.983867677400e-02,3.874170952080e-01,2.193851615150e-01,1.265686397120e-01,7.259368254930e-02,1.000000000000e+04,4.000001052610e+03,4.000004564350e+03,4.000074324750e+03,3.999840046760e+03,4.000000710820e+03,4.000006539530e+03,4.000001793520e+03,4.000000353960e+03,4.000000389320e+03,4.000000399140e+03,4.000000418420e+03,4.000000438510e+03,9.380891896690e-04,2.500000000990e+03,1.810742629730e+22,6.227935464440e+06
5.608191231990e-13,5.000000079860e-02,3.416968919750e-02,4.361012985720e-06,1.381365769340e-06,4.020466963550e-07,8.970088432360e-03,7.536375105000e-05,9.754583015380e-04,9.983867684410e-02,3.874170948070e-01,2.193851613090e-01,1.265686396230e-01,7.259368251020e-02,1.000000000000e+04,4.000001087800e+03,4.000004716920e+03,4.000076809140e+03,3.999834700210e+03,4.000000734580e+03,4.000006758130e+03,4.000001853470e+03,4.000000365790e+03,4.000000402330e+03,4.000000412480e+03,4.000000432410e+03,4.000000453160e+03,9.380891896690e-04,2.500000001020e+03,1.810742629750e+22,6.227935470620e+06
