t,X_O,X_O2,Th,Tv,rho,p,n,E
8.229517136420e-13,5.000010058330e-02,9.499998994170e-01,1.000000000000e+04,5.000734649200e+02,7.504713517360e-03,2.000000103160e+04,1.448594177930e+23,6.930919693500e+06
8.452959893460e-13,5.000010331420e-02,9.499998966860e-01,1.000000000000e+04,5.000754591950e+02,7.504713517360e-03,2.000000105960e+04,1.448594179960e+23,6.930919831750e+06
8.679754291860e-13,5.000010608620e-02,9.499998939140e-01,1.000000000000e+04,5.000774833620e+02,7.504713517360e-03,2.000000108810e+04,1.448594182020e+23,6.930919972070e+06
8.909950606240e-13,5.000010889970e-02,9.499998911000e-01,1.000000000000e+04,5.000795378690e+02,7.504713517360e-03,2.000000111690e+04,1.448594184110e+23,6.930920114500e+06
9.143599865340e-13,5.000011175540e-02,9.499998882450e-01,1.000000000000e+04,5.000816231710e+02,7.504713517360e-03,2.000000114620e+04,1.448594186230e+23,6.930920259060e+06
9.380753863320e-13,5.000011465400e-02,9.499998853460e-01,1.000000000000e+04,5.000837397290e+02,7.504713517360e-03,2.000000117590e+04,1.448594188380e+23,6.930920405790e+06
9.621465171260e-13,5.000011759600e-02,9.499998824040e-01,1.000000000000e+04,5.000858880110e+02,7.504713517360e-03,2.000000120610e+04,1.448594190570e+23,6.930920554720e+06
9.865787148830e-13,5.000012058220e-02,9.499998794180e-01,1.000000000000e+04,5.000880684920e+02,7.504713517360e-03,2.000000123670e+04,1.448594192780e+23,6.930920705890e+06
1.011377395610e-12,5.000012361320e-02,9.499998763870e-01,1.000000000000e+04,5.000902816540e+02,7.504713517360e-03,2.000000126780e+04,1.448594195040e+23,6.930920859320e+06
1.036548056540e-12,5.000012668960e-02,9.499998733100e-01,1.000000000000e+04,5.000925279880e+02,7.504713517360e-03,2.000000129940e+04,1.448594197320e+23,6.930921015050e+06
1.062096277390e-12,5.000012981220e-02,9.499998701880e-01,1.000000000000e+04,5.000948079890e+02,7.504713517360e-03,2.000000133140e+04,1.448594199640e+23,6.930921173120e+06
1.088027721550e-12,5.000013298160e-02,9.499998670180e-01,1.000000000000e+04,5.000971221610e+02,7.504713517360e-03,2.000000136390e+04,1.448594202000e+23,6.930921333560e+06
1.114348137370e-12,5.000013619850e-02,9.499998638010e-01,1.000000000000e+04,5.000994710180e+02,7.504713517360e-03,2.000000139690e+04,1.448594204390e+23,6.930921496400e+06
1.141063359430e-12,5.000013946370e-02,9.499998605360e-01,1.000000000000e+04,5.001018550770e+02,7.504713517360e-03,2.000000143040e+04,1.448594206810e+23,6.930921661680e+06
1.168179309830e-12,5.000014277790e-02,9.499998572220e-01,1.000000000000e+04,5.001042748660e+02,7.504713517360e-03,2.000000146440e+04,1.448594209270e+23,6.930921829450e+06
