t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,rho,p,n,E
3.063153755470e-05,9.999868957960e-01,3.649899985830e-06,5.571496479480e-08,9.731385710630e-08,6.712162584780e-09,1.015979649500e-06,2.742711307990e-07,4.819210817470e-07,2.431139137020e-06,1.831411815550e-06,1.368644419830e-06,1.077101250160e-06,8.140947087200e-07,1.000000000000e+04,9.999999999350e+03,9.999999999530e+03,9.999999999670e+03,9.999999999010e+03,9.999999999610e+03,9.999999999370e+03,9.999999999400e+03,9.999999999680e+03,9.999999999870e+03,9.999999999880e+03,9.999999999880e+03,9.999999999880e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
3.109101062800e-05,9.999868957960e-01,3.649899985800e-06,5.571496479480e-08,9.731385710620e-08,6.712162584780e-09,1.015979649490e-06,2.742711307980e-07,4.819210817440e-07,2.431139137000e-06,1.831411815530e-06,1.368644419820e-06,1.077101250150e-06,8.140947087130e-07,1.000000000000e+04,9.999999999370e+03,9.999999999540e+03,9.999999999670e+03,9.999999999030e+03,9.999999999620e+03,9.999999999380e+03,9.999999999410e+03,9.999999999690e+03,9.999999999870e+03,9.999999999890e+03,9.999999999880e+03,9.999999999890e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
3.155737579750e-05,9.999868957960e-01,3.649899985780e-06,5.571496479470e-08,9.731385710600e-08,6.712162584780e-09,1.015979649480e-06,2.742711307970e-07,4.819210817410e-07,2.431139136980e-06,1.831411815510e-06,1.368644419810e-06,1.077101250140e-06,8.140947087050e-07,1.000000000000e+04,9.999999999380e+03,9.999999999550e+03,9.999999999680e+03,9.999999999060e+03,9.999999999630e+03,9.999999999400e+03,9.999999999430e+03,9.999999999700e+03,9.999999999880e+03,9.999999999890e+03,9.999999999880e+03,9.999999999890e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
3.203073644440e-05,9.999868957960e-01,3.649899985750e-06,5.571496479470e-08,9.731385710590e-08,6.712162584780e-09,1.015979649480e-06,2.742711307970e-07,4.819210817390e-07,2.431139136960e-06,1.831411815490e-06,1.368644419790e-06,1.077101250130e-06,8.140947086970e-07,1.000000000000e+04,9.999999999400e+03,9.999999999560e+03,9.999999999690e+03,9.999999999080e+03,9.999999999640e+03,9.999999999420e+03,9.999999999450e+03,9.999999999710e+03,9.999999999880e+03,9.999999999890e+03,9.999999999890e+03,9.999999999890e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
3.251119750110e-05,9.999868957960e-01,3.649899985720e-06,5.571496479460e-08,9.731385710580e-08,6.712162584780e-09,1.015979649470e-06,2.742711307960e-07,4.819210817360e-07,2.431139136940e-06,1.831411815470e-06,1.368644419780e-06,1.077101250120e-06,8.140947086890e-07,1.000000000000e+04,9.999999999420e+03,9.999999999580e+03,9.999999999700e+03,9.999999999110e+03,9.999999999650e+03,9.999999999430e+03,9.999999999460e+03,9.999999999710e+03,9.999999999880e+03,9.999999999890e+03,9.999999999890e+03,9.999999999890e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
3.299886547360e-05,9.999868957960e-01,3.649899985690e-06,5.571496479460e-08,9.731385710560e-08,6.712162584780e-09,1.015979649460e-06,2.742711307960e-07,4.819210817330e-07,2.431139136910e-06,1.831411815450e-06,1.368644419760e-06,1.077101250110e-06,8.140947086810e-07,1.000000000000e+04,9.999999999430e+03,9.999999999590e+03,9.999999999710e+03,9.999999999140e+03,9.999999999660e+03,9.999999999450e+03,9.999999999480e+03,9.999999999720e+03,9.999999999890e+03,9.999999999900e+03,9.999999999890e+03,9.999999999900e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
3.349384846570e-05,9.999868957960e-01,3.649899985670e-06,5.571496479460e-08,9.731385710550e-08,6.712162584780e-09,1.015979649450e-06,2.742711307950e-07,4.819210817300e-07,2.431139136890e-06,1.831411815430e-06,1.368644419750e-06,1.077101250100e-06,8.140947086730e-07,1.000000000000e+04,9.999999999450e+03,9.999999999600e+03,9.999999999720e+03,9.999999999160e+03,9.999999999670e+03,9.999999999470e+03,9.999999999490e+03,9.999999999730e+03,9.999999999890e+03,9.999999999900e+03,9.999999999900e+03,9.999999999900e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
3.399625620270e-05,9.999868957960e-01,3.649899985640e-06,5.571496479450e-08,9.731385710530e-08,6.712162584770e-09,1.015979649440e-06,2.742711307940e-07,4.819210817280e-07,2.431139136870e-06,1.831411815410e-06,1.368644419730e-06,1.077101250090e-06,8.140947086640e-07,1.000000000000e+04,9.999999999470e+03,9.999999999610e+03,9.999999999730e+03,9.999999999190e+03,9.999999999690e+03,9.999999999480e+03,9.999999999510e+03,9.999999999740e+03,9.999999999890e+03,9.999999999900e+03,9.999999999900e+03,9.999999999900e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
3.450620005570e-05,9.999868957960e-01,3.649899985610e-06,5.571496479450e-08,9.731385710520e-08,6.712162584770e-09,1.015979649440e-06,2.742711307930e-07,4.819210817250e-07,2.431139136840e-06,1.831411815390e-06,1.368644419720e-06,1.077101250070e-06,8.140947086560e-07,1.000000000000e+04,9.999999999490e+03,9.999999999630e+03,9.999999999740e+03,9.999999999220e+03,9.999999999700e+03,9.999999999500e+03,9.999999999530e+03,9.999999999750e+03,9.999999999900e+03,9.999999999910e+03,9.999999999900e+03,9.999999999910e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
3.502379306660e-05,9.999868957960e-01,3.649899985580e-06,5.571496479450e-08,9.731385710500e-08,6.712162584770e-09,1.015979649430e-06,2.742711307930e-07,4.819210817220e-07,2.431139136820e-06,1.831411815370e-06,1.368644419700e-06,1.077101250060e-06,8.140947086470e-07,1.000000000000e+04,9.999999999510e+03,9.999999999640e+03,9.999999999750e+03,9.999999999250e+03,9.999999999710e+03,9.999999999520e+03,9.999999999550e+03,9.999999999760e+03,9.999999999900e+03,9.999999999910e+03,9.999999999910e+03,9.999999999910e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
3.554914997260e-05,9.999868957960e-01,3.649899985550e-06,5.571496479440e-08,9.731385710490e-08,6.712162584770e-09,1.015979649420e-06,2.742711307920e-07,4.819210817190e-07,2.431139136800e-06,1.831411815350e-06,1.368644419690e-06,1.077101250050e-06,8.140947086380e-07,1.000000000000e+04,9.999999999530e+03,9.999999999650e+03,9.999999999760e+03,9.999999999280e+03,9.999999999720e+03,9.999999999540e+03,9.999999999560e+03,9.999999999770e+03,9.999999999910e+03,9.999999999910e+03,9.999999999910e+03,9.999999999910e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
3.608238723220e-05,9.999868957960e-01,3.649899985520e-06,5.571496479440e-08,9.731385710470e-08,6.712162584770e-09,1.015979649410e-06,2.742711307910e-07,4.819210817160e-07,2.431139136770e-06,1.831411815330e-06,1.368644419670e-06,1.077101250040e-06,8.140947086300e-07,1.000000000000e+04,9.999999999550e+03,9.999999999670e+03,9.999999999770e+03,9.999999999310e+03,9.999999999730e+03,9.999999999560e+03,9.999999999580e+03,9.999999999780e+03,9.999999999910e+03,9.999999999920e+03,9.999999999910e+03,9.999999999920e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
3.662362305070e-05,9.999868957960e-01,3.649899985480e-06,5.571496479430e-08,9.731385710460e-08,6.712162584770e-09,1.015979649400e-06,2.742711307910e-07,4.819210817130e-07,2.431139136750e-06,1.831411815310e-06,1.368644419660e-06,1.077101250030e-06,8.140947086200e-07,1.000000000000e+04,9.999999999560e+03,9.999999999680e+03,9.999999999780e+03,9.999999999330e+03,9.999999999740e+03,9.999999999580e+03,9.999999999600e+03,9.999999999790e+03,9.999999999910e+03,9.999999999920e+03,9.999999999920e+03,9.999999999920e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
