vqn,jqn,E,egam,rMin,rMax,VMin,VMax,Tau,ri,ro,EVib,ERot,g
0,48,-4.69728141e+00,0.00000000e+00,2.29997010e+00,4.96688050e+00,4.18103463e-01,5.26381311e+00,8.95465890e+02,2.20766820e+00,2.40524690e+00,-5.11304567e+00,4.15764260e-01,1.45500000e+02
2,13,-4.69654698e+00,0.00000000e+00,2.28342390e+00,9.85353580e+00,3.25815413e-02,5.21247255e+00,9.05296580e+02,2.09402000e+00,2.53700850e+00,-4.72822964e+00,3.16826645e-02,4.05000000e+01
2,14,-4.69167622e+00,0.00000000e+00,2.28362310e+00,9.55419470e+00,3.75914914e-02,5.21275038e+00,9.05563330e+02,2.09420860e+00,2.53726190e+00,-4.72822964e+00,3.65534229e-02,4.35000000e+01
2,15,-4.68645862e+00,0.00000000e+00,2.28386800e+00,9.28378550e+00,4.29582645e-02,5.21306631e+00,9.05849320e+02,2.09441070e+00,2.53753350e+00,-4.72822964e+00,4.17710177e-02,4.65000000e+01
1,36,-4.68542581e+00,0.00000000e+00,2.29214590e+00,6.45451400e+00,2.37584261e-01,5.23216789e+00,9.01059800e+02,2.14010670e+00,2.48291020e+00,-4.91903682e+00,2.33611010e-01,1.09500000e+02
2,16,-4.68089435e+00,0.00000000e+00,2.28411100e+00,9.03762670e+00,4.86816485e-02,5.21342223e+00,9.06154600e+02,2.09462630e+00,2.53782340e+00,-4.72822964e+00,4.73352857e-02,4.95000000e+01
0,49,-4.68010033e+00,0.00000000e+00,2.30073870e+00,4.94681820e+00,4.35382646e-01,5.26753481e+00,8.96386750e+02,2.20838140e+00,2.40606150e+00,-5.11304567e+00,4.32945345e-01,1.48500000e+02
2,17,-4.67498366e+00,0.00000000e+00,2.28435920e+00,8.81234790e+00,5.47614146e-02,5.21382088e+00,9.06479200e+02,2.09485550e+00,2.53813140e+00,-4.72822964e+00,5.32459820e-02,5.25000000e+01
1,37,-4.67250938e+00,0.00000000e+00,2.29270880e+00,6.37013090e+00,2.50722170e-01,5.23384710e+00,9.01761360e+02,2.14062120e+00,2.48355760e+00,-4.91903682e+00,2.46527444e-01,1.12500000e+02
2,18,-4.66872678e+00,0.00000000e+00,2.28462430e+00,8.60513190e+00,6.11973290e-02,5.21426415e+00,9.06823170e+02,2.09509830e+00,2.53845770e+00,-4.72822964e+00,5.95028617e-02,5.55000000e+01
