vqn,jqn,E,egam,rMin,rMax,VMin,VMax,Tau,ri,ro,EVib,ERot,g
2,10,-9.15318436e+00,0.00000000e+00,2.07446840e+00,1.19222760e+01,-9.87198340e+00,5.63926617e-04,6.03723270e+02,1.90536790e+00,2.29241830e+00,-9.17983847e+00,2.66541072e-02,1.05000000e+01
2,11,-9.14785555e+00,0.00000000e+00,2.07460030e+00,1.14379490e+01,-9.86653405e+00,7.36181560e-04,6.03826440e+02,1.90548680e+00,2.29257010e+00,-9.17983847e+00,3.19829150e-02,1.15000000e+01
2,12,-9.14204320e+00,0.00000000e+00,2.07474440e+00,1.10139820e+01,-9.86058999e+00,9.39540110e-04,6.03939020e+02,1.90561650e+00,2.29273560e+00,-9.17983847e+00,3.77952694e-02,1.25000000e+01
1,36,-9.14048698e+00,0.00000000e+00,2.08180330e+00,7.18064020e+00,-9.57033963e+00,1.99292789e-02,6.02064380e+02,1.94664580e+00,2.24634610e+00,-9.46501200e+00,3.24525021e-01,3.65000000e+01
2,13,-9.13574729e+00,0.00000000e+00,2.07489760e+00,1.06391290e+01,-9.85415150e+00,1.17633951e-03,6.04061040e+02,1.90575700e+00,2.29291510e+00,-9.17983847e+00,4.40911702e-02,1.35000000e+01
0,50,-9.12898526e+00,0.00000000e+00,2.08917030e+00,6.27192530e+00,-9.27179931e+00,4.92144258e-02,6.00401700e+02,2.00759760e+00,2.18056550e+00,-9.75363811e+00,6.24652848e-01,5.05000000e+01
2,14,-9.12896812e+00,0.00000000e+00,2.07506560e+00,1.03051130e+01,-9.84721886e+00,1.44885432e-03,6.04192500e+02,1.90590840e+00,2.29310830e+00,-9.17983847e+00,5.08703455e-02,1.45000000e+01
1,37,-9.12253181e+00,0.00000000e+00,2.08224980e+00,7.10554290e+00,-9.55214146e+00,2.14755112e-02,6.02408750e+02,1.94705680e+00,2.24684250e+00,-9.46501200e+00,3.42480189e-01,3.75000000e+01
2,15,-9.12170594e+00,0.00000000e+00,2.07524690e+00,1.00057640e+01,-9.83979232e+00,1.75927919e-03,6.04333410e+02,1.90607060e+00,2.29331540e+00,-9.17983847e+00,5.81325230e-02,1.55000000e+01
2,16,-9.11396131e+00,0.00000000e+00,2.07543470e+00,9.73637850e+00,-9.83187217e+00,2.10970663e-03,6.04483790e+02,1.90624370e+00,2.29353640e+00,-9.17983847e+00,6.58771586e-02,1.65000000e+01
