t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,rho,p,n,E
7.792489151800e-13,5.000000110960e-02,9.148664742050e-01,3.462163145760e-02,5.069571300880e-04,4.911976366800e-06,2.412111050270e-08,1.000000000000e+04,4.000000350950e+03,4.000001214240e+03,4.000009448780e+03,4.000082086740e+03,4.000362304330e+03,9.380891896690e-04,2.500000001420e+03,1.810742630040e+22,6.228013011420e+06
8.009376489080e-13,5.000000114050e-02,9.148664735350e-01,3.462163202940e-02,5.069571934220e-04,4.911980693280e-06,2.412124866150e-08,1.000000000000e+04,4.000000360710e+03,4.000001248030e+03,4.000009711770e+03,4.000084371400e+03,4.000372386640e+03,9.380891896690e-04,2.500000001460e+03,1.810742630070e+22,6.228013018820e+06
8.229517136420e-13,5.000000117180e-02,9.148664728540e-01,3.462163260980e-02,5.069572577060e-04,4.911985084660e-06,2.412138889270e-08,1.000000000000e+04,4.000000370630e+03,4.000001282330e+03,4.000009978700e+03,4.000086690320e+03,4.000382620080e+03,9.380891896690e-04,2.500000001500e+03,1.810742630100e+22,6.228013026330e+06
8.452959893460e-13,5.000000120360e-02,9.148664721630e-01,3.462163319890e-02,5.069573229540e-04,4.911989541910e-06,2.412153122730e-08,1.000000000000e+04,4.000000380690e+03,4.000001317150e+03,4.000010249630e+03,4.000089044020e+03,4.000393006930e+03,9.380891896690e-04,2.500000001540e+03,1.810742630130e+22,6.228013033950e+06
8.679754291860e-13,5.000000123590e-02,9.148664714620e-01,3.462163379680e-02,5.069573891810e-04,4.911994066020e-06,2.412167569700e-08,1.000000000000e+04,4.000000390910e+03,4.000001352490e+03,4.000010524630e+03,4.000091433030e+03,4.000403549470e+03,9.380891896690e-04,2.500000001580e+03,1.810742630160e+22,6.228013041680e+06
8.909950606240e-13,5.000000126870e-02,9.148664707510e-01,3.462163440380e-02,5.069574564010e-04,4.911998657990e-06,2.412182233370e-08,1.000000000000e+04,4.000000401270e+03,4.000001388360e+03,4.000010803760e+03,4.000093857870e+03,4.000414250050e+03,9.380891896690e-04,2.500000001630e+03,1.810742630190e+22,6.228013049530e+06
9.143599865340e-13,5.000000130200e-02,9.148664700280e-01,3.462163501980e-02,5.069575246290e-04,4.912003318840e-06,2.412197116990e-08,1.000000000000e+04,4.000000411800e+03,4.000001424770e+03,4.000011087070e+03,4.000096319070e+03,4.000425111040e+03,9.380891896690e-04,2.500000001670e+03,1.810742630220e+22,6.228013057500e+06
9.380753863320e-13,5.000000133570e-02,9.148664692950e-01,3.462163564500e-02,5.069575938810e-04,4.912008049600e-06,2.412212223870e-08,1.000000000000e+04,4.000000422480e+03,4.000001461720e+03,4.000011374630e+03,4.000098817190e+03,4.000436134820e+03,9.380891896690e-04,2.500000001710e+03,1.810742630250e+22,6.228013065590e+06
9.621465171260e-13,5.000000137000e-02,9.148664685510e-01,3.462163627970e-02,5.069576641720e-04,4.912012851320e-06,2.412227557360e-08,1.000000000000e+04,4.000000433320e+03,4.000001499230e+03,4.000011666500e+03,4.000101352780e+03,4.000447323850e+03,9.380891896690e-04,2.500000001760e+03,1.810742630280e+22,6.228013073800e+06
9.865787148830e-13,5.000000140480e-02,9.148664677960e-01,3.462163692380e-02,5.069577355170e-04,4.912017725070e-06,2.412243120840e-08,1.000000000000e+04,4.000000444320e+03,4.000001537300e+03,4.000011962750e+03,4.000103926400e+03,4.000458680600e+03,9.380891896690e-04,2.500000001800e+03,1.810742630310e+22,6.228013082130e+06
