t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,rho,p,n,E
9.621465171260e-13,5.000000299560e-02,9.499999083160e-01,8.079639494840e-08,7.510394484910e-09,3.775301934510e-10,3.779683590750e-12,1.000000000000e+04,5.000118657930e+02,5.755433445760e+03,6.568923769030e+03,5.545497504560e+03,4.952397247030e+03,7.504713517360e-03,2.000000003070e+04,1.448594105430e+23,4.526099058860e+06
9.865787148830e-13,5.000000307170e-02,9.499999059880e-01,8.284809268460e-08,7.701109258600e-09,3.871169760440e-10,3.875664407400e-12,1.000000000000e+04,5.000121671040e+02,5.755433556030e+03,6.568923671680e+03,5.545497772980e+03,4.952398788110e+03,7.504713517360e-03,2.000000003150e+04,1.448594105490e+23,4.526099170530e+06
1.011377395610e-12,5.000000314890e-02,9.499999036250e-01,8.493056590460e-08,7.894684759880e-09,3.968475602240e-10,3.973085023420e-12,1.000000000000e+04,5.000124729350e+02,5.755433667510e+03,6.568923572880e+03,5.545498045440e+03,4.952400352300e+03,7.504713517360e-03,2.000000003230e+04,1.448594105550e+23,4.526099283870e+06
1.036548056540e-12,5.000000322730e-02,9.499999012270e-01,8.704427624120e-08,8.091163899840e-09,4.067241030080e-10,4.071967038460e-12,1.000000000000e+04,5.000127833530e+02,5.755433780200e+03,6.568923472590e+03,5.545498321970e+03,4.952401939960e+03,7.504713517360e-03,2.000000003310e+04,1.448594105610e+23,4.526099398910e+06
1.062096277390e-12,5.000000330680e-02,9.499998987920e-01,8.918969225170e-08,8.290590233240e-09,4.167487937720e-10,4.172332376200e-12,1.000000000000e+04,5.000130984270e+02,5.755433894100e+03,6.568923370790e+03,5.545498602660e+03,4.952403551430e+03,7.504713517360e-03,2.000000003390e+04,1.448594105660e+23,4.526099515680e+06
1.088027721550e-12,5.000000338750e-02,9.499998963210e-01,9.136728952170e-08,8.493007968190e-09,4.269238547300e-10,4.274203289280e-12,1.000000000000e+04,5.000134182270e+02,5.755434014100e+03,6.568923267470e+03,5.545498887560e+03,4.952405187070e+03,7.504713517360e-03,2.000000003470e+04,1.448594105720e+23,4.526099634200e+06
1.114348137370e-12,5.000000346950e-02,9.499998938130e-01,9.357755077090e-08,8.698461975900e-09,4.372515414310e-10,4.377602364200e-12,1.000000000000e+04,5.000137428240e+02,5.755434142770e+03,6.568923162600e+03,5.545499176730e+03,4.952406847240e+03,7.504713517360e-03,2.000000003560e+04,1.448594105790e+23,4.526099754490e+06
1.141063359430e-12,5.000000355270e-02,9.499998912670e-01,9.582096595930e-08,8.906997800660e-09,4.477341432540e-10,4.482552526370e-12,1.000000000000e+04,5.000140722900e+02,5.755434273230e+03,6.568923056160e+03,5.545499470230e+03,4.952408532320e+03,7.504713517360e-03,2.000000003640e+04,1.448594105850e+23,4.526099876590e+06
1.168179309830e-12,5.000000363710e-02,9.499998886830e-01,9.809803239690e-08,9.118661669950e-09,4.583739839230e-10,4.589077045150e-12,1.000000000000e+04,5.000144066980e+02,5.755434405510e+03,6.568922948120e+03,5.545499768140e+03,4.952410242670e+03,7.504713517360e-03,2.000000003730e+04,1.448594105910e+23,4.526100000530e+06
1.195701999470e-12,5.000000372280e-02,9.499998860610e-01,1.004092548530e-07,9.333500504650e-09,4.691734220130e-10,4.697199539030e-12,1.000000000000e+04,5.000147461210e+02,5.755434539630e+03,6.568922838460e+03,5.545500070520e+03,4.952411978670e+03,7.504713517360e-03,2.000000003820e+04,1.448594105970e+23,4.526100126320e+06
